rice_id;chiave;tid;timestamp_TO_DELETE;valore;timestamp
283981;osVersion;116318;NULL;10.0.19045.6466;"2026-01-21 09:06:49"
283982;osType;117429;NULL;WINDOWS;"2026-01-19 16:52:57"
283982;osVersion;117429;NULL;10.0.19045.6466;"2026-01-19 16:52:57"
283983;osType;117419;NULL;WINDOWS;"2026-01-20 10:50:56"
283983;osVersion;117419;NULL;10.0.26200.7623;"2026-01-20 10:50:56"
283985;osType;96405;NULL;WINDOWS;"2026-01-19 10:05:58"
283985;osVersion;96405;NULL;10.0.26200.7462;"2026-01-19 10:05:58"
283988;osType;117418;NULL;WINDOWS;"2026-01-21 09:12:56"
283988;osVersion;117418;NULL;10.0.19045.6466;"2026-01-21 09:12:56"
283989;osType;66069;NULL;WINDOWS;"2026-01-20 16:10:46"
283989;osVersion;66069;NULL;10.0.26200.7623;"2026-01-20 16:10:46"
283993;osType;117741;NULL;WINDOWS;"2026-01-21 06:23:14"
283993;osVersion;117741;NULL;10.0.26100.7623;"2026-01-21 06:23:14"
284001;osType;118205;NULL;WINDOWS;"2026-01-13 07:57:56"
284001;osVersion;118205;NULL;10.0.22631.6199;"2026-01-13 07:57:56"
284009;osType;117743;NULL;WINDOWS;"2026-01-21 07:10:54"
284009;osVersion;117743;NULL;10.0.26200.7623;"2026-01-21 07:10:54"
284016;osType;118365;NULL;WINDOWS;"2026-01-21 09:16:46"
284016;osVersion;118365;NULL;10.0.19045.6466;"2026-01-21 09:16:46"
284017;osType;82047;NULL;WINDOWS;"2026-01-21 09:03:02"
284017;osVersion;82047;NULL;10.0.26200.7623;"2026-01-21 09:03:02"
284019;osType;117744;NULL;WINDOWS;"2026-01-20 11:40:51"
284019;osVersion;117744;NULL;10.0.26200.7623;"2026-01-20 11:40:51"
284021;osType;77575;NULL;WINDOWS;"2026-01-08 11:35:01"
284021;osVersion;77575;NULL;10.0.26200.7462;"2026-01-08 11:35:01"
284024;osType;117745;NULL;WINDOWS;"2025-12-27 09:53:10"
284024;osVersion;117745;NULL;10.0.22000.2538;"2025-12-27 09:53:10"
284025;osType;117492;NULL;WINDOWS;"2026-01-21 08:57:53"
284025;osVersion;117492;NULL;10.0.26200.7623;"2026-01-21 08:57:53"
284029;osType;114097;NULL;WINDOWS;"2026-01-20 09:51:09"
284029;osVersion;114097;NULL;10.0.26200.7623;"2026-01-20 09:51:09"
284030;osType;117493;NULL;WINDOWS;"2026-01-02 09:30:33"
284030;osVersion;117493;NULL;10.0.19045.6466;"2026-01-02 09:30:33"
284031;osType;117746;NULL;WINDOWS;"2026-01-20 10:00:53"
284031;osVersion;117746;NULL;10.0.26200.7623;"2026-01-20 10:00:53"
284033;osType;73343;NULL;WINDOWS;"2026-01-07 09:44:56"
284033;osVersion;73343;NULL;10.0.26200.7462;"2026-01-07 09:44:56"
284035;osVersion;117495;NULL;10.0.26100.7171;"2025-12-10 17:05:55"
284036;osType;117510;NULL;WINDOWS;"2026-01-19 18:07:45"
284036;osVersion;117510;NULL;10.0.26100.7623;"2026-01-19 18:07:45"
284040;osType;117747;NULL;WINDOWS;"2026-01-20 16:48:01"
284040;osVersion;117747;NULL;10.0.22631.6199;"2026-01-20 16:48:01"
284046;osType;117766;NULL;WINDOWS;"2026-01-20 16:44:45"
284046;osVersion;117766;NULL;10.0.19045.6466;"2026-01-20 16:44:45"
284047;osType;102466;NULL;WINDOWS;"2026-01-21 09:47:03"
284047;osVersion;102466;NULL;10.0.19045.6466;"2026-01-21 09:47:03"
284052;osType;117497;NULL;WINDOWS;"2026-01-21 09:42:30"
284052;osVersion;117497;NULL;10.0.19045.6466;"2026-01-21 09:42:30"
284053;osType;118326;NULL;WINDOWS;"2026-01-20 15:51:52"
284053;osVersion;118326;NULL;10.0.26200.7623;"2026-01-20 15:51:52"
284055;osType;105055;NULL;WINDOWS;"2026-01-21 07:52:21"
284055;osVersion;105055;NULL;10.0.26100.7623;"2026-01-21 07:52:21"
284070;osType;84962;NULL;WINDOWS;"2026-01-21 08:47:59"
284070;osVersion;84962;NULL;10.0.19045.6466;"2026-01-21 08:47:59"
284073;osType;67912;NULL;WINDOWS;"2026-01-20 16:13:40"
284073;osVersion;67912;NULL;10.0.26100.7623;"2026-01-20 16:13:40"
284074;osType;117754;NULL;WINDOWS;"2026-01-21 08:05:40"
284074;osVersion;117754;NULL;10.0.26100.7623;"2026-01-21 08:05:40"
284077;osType;118173;NULL;WINDOWS;"2026-01-19 12:39:36"
284077;osVersion;118173;NULL;10.0.19045.6466;"2026-01-19 12:39:36"
284079;osType;117755;NULL;WINDOWS;"2026-01-20 09:27:51"
284079;osVersion;117755;NULL;10.0.26100.7623;"2026-01-20 09:27:51"
284080;osType;117499;NULL;WINDOWS;"2026-01-19 10:30:32"
284080;osVersion;117499;NULL;10.0.19045.6466;"2026-01-19 10:30:32"
284081;osType;117756;NULL;WINDOWS;"2026-01-20 06:24:22"
284081;osVersion;117756;NULL;10.0.19045.6466;"2026-01-20 06:24:22"
284089;osType;117580;NULL;WINDOWS;"2026-01-12 11:20:36"
284089;osVersion;117580;NULL;10.0.19045.6466;"2026-01-12 11:20:36"
284094;osType;117819;NULL;WINDOWS;"2026-01-21 08:30:56"
284094;osVersion;117819;NULL;10.0.22631.6199;"2026-01-21 08:30:56"
284097;osType;117500;NULL;WINDOWS;"2026-01-20 05:23:23"
284097;osVersion;117500;NULL;10.0.26100.7623;"2026-01-20 05:23:23"
284099;osType;73588;NULL;WINDOWS;"2026-01-15 09:49:19"
284099;osVersion;73588;NULL;10.0.22631.6199;"2026-01-15 09:49:19"
284099;osType;79974;NULL;WINDOWS;"2026-01-21 10:04:50"
284099;osVersion;79974;NULL;10.0.22631.6199;"2026-01-21 10:04:50"
284103;osType;117501;NULL;WINDOWS;"2026-01-21 07:48:09"
284103;osVersion;117501;NULL;10.0.26200.7623;"2026-01-21 07:48:09"
284108;osType;117761;NULL;WINDOWS;"2026-01-21 08:12:28"
284108;osVersion;117761;NULL;10.0.26100.7623;"2026-01-21 08:12:28"
284114;osType;118336;NULL;WINDOWS;"2026-01-20 16:48:56"
284114;osVersion;118336;NULL;10.0.19045.6466;"2026-01-20 16:48:56"
284124;osType;117725;NULL;WINDOWS;"2026-01-21 06:51:32"
284124;osVersion;117725;NULL;10.0.26200.7623;"2026-01-21 06:51:32"
284126;osType;117504;NULL;WINDOWS;"2026-01-21 07:33:23"
284126;osVersion;117504;NULL;10.0.19045.6466;"2026-01-21 07:33:23"
284127;osType;80335;NULL;WINDOWS;"2026-01-21 07:55:34"
284127;osVersion;80335;NULL;10.0.19045.6466;"2026-01-21 07:55:34"
284132;osType;117505;NULL;WINDOWS;"2026-01-20 10:26:51"
284132;osVersion;117505;NULL;10.0.26200.7171;"2026-01-20 10:26:51"
284134;osType;117391;NULL;WINDOWS;"2026-01-21 08:24:53"
284134;osVersion;117391;NULL;10.0.26100.7623;"2026-01-21 08:24:53"
284137;osType;72751;NULL;WINDOWS;"2026-01-21 06:34:27"
284137;osVersion;72751;NULL;10.0.19045.6809;"2026-01-21 06:34:27"
284140;osType;117712;NULL;WINDOWS;"2026-01-21 06:44:52"
284140;osVersion;117712;NULL;10.0.26200.7623;"2026-01-21 06:44:52"
284141;osType;80056;NULL;WINDOWS;"2026-01-21 07:26:26"
284141;osVersion;80056;NULL;10.0.19045.6466;"2026-01-21 07:26:26"
284156;osType;79380;NULL;WINDOWS;"2026-01-21 07:26:51"
284156;osVersion;79380;NULL;10.0.26200.7623;"2026-01-21 07:26:51"
284166;osType;117581;NULL;WINDOWS;"2026-01-21 05:15:04"
284166;osVersion;117581;NULL;10.0.19045.6466;"2026-01-21 05:15:04"
284183;osType;78266;NULL;WINDOWS;"2026-01-13 16:29:43"
284183;osVersion;78266;NULL;10.0.19045.6466;"2026-01-13 16:29:43"
284186;osType;118199;NULL;WINDOWS;"2026-01-19 16:38:19"
284186;osVersion;118199;NULL;10.0.19045.6466;"2026-01-19 16:38:19"
284187;osType;117509;NULL;WINDOWS;"2026-01-21 07:46:25"
284187;osVersion;117509;NULL;10.0.19045.6466;"2026-01-21 07:46:25"
284190;osType;79284;NULL;WINDOWS;"2026-01-21 08:30:48"
284190;osVersion;79284;NULL;10.0.22631.6199;"2026-01-21 08:30:48"
284191;osType;117550;NULL;WINDOWS;"2026-01-16 08:08:30"
284191;osVersion;117550;NULL;10.0.26100.7623;"2026-01-16 08:08:30"
284192;osType;117728;NULL;WINDOWS;"2026-01-21 09:58:06"
284192;osVersion;117728;NULL;10.0.19045.6466;"2026-01-21 09:58:06"
284194;osType;116592;NULL;WINDOWS;"2026-01-21 09:42:54"
284194;osVersion;116592;NULL;10.0.26100.7623;"2026-01-21 09:42:54"
284197;osType;69202;NULL;WINDOWS;"2026-01-21 08:59:52"
284197;osVersion;69202;NULL;10.0.26200.7623;"2026-01-21 08:59:52"
284200;osType;117716;NULL;WINDOWS;"2026-01-12 15:54:05"
284200;osVersion;117716;NULL;10.0.19045.6466;"2026-01-12 15:54:05"
284202;osType;117718;NULL;WINDOWS;"2026-01-21 07:23:36"
284202;osVersion;117718;NULL;10.0.19045.6456;"2026-01-21 07:23:36"
284203;osType;117717;NULL;WINDOWS;"2026-01-21 09:04:42"
284203;osVersion;117717;NULL;10.0.26200.7623;"2026-01-21 09:04:42"
284204;osType;117719;NULL;WINDOWS;"2026-01-21 07:33:16"
284204;osVersion;117719;NULL;10.0.19045.6466;"2026-01-21 07:33:16"
284206;osType;117720;NULL;WINDOWS;"2026-01-21 07:58:26"
284206;osVersion;117720;NULL;10.0.19045.6466;"2026-01-21 07:58:26"
284209;osType;117721;NULL;WINDOWS;"2026-01-21 07:50:58"
284209;osVersion;117721;NULL;10.0.26200.7623;"2026-01-21 07:50:58"
284217;osType;117470;NULL;WINDOWS;"2026-01-19 11:21:29"
284217;osVersion;117470;NULL;10.0.26200.7462;"2026-01-19 11:21:29"
284225;osType;85998;NULL;WINDOWS;"2026-01-21 07:53:09"
